DOCULECT	CHAR	PHONEME
Chabana	c100_1	a
Hateruma	c100_1	a
Hentona	c100_1	a
Hirara	c100_1	a
Ie	c100_1	a
Iheya	c100_1	a_LG_
Ikema	c100_1	a
Isen	c100_1	a
Ishigaki	c100_1	a
Ishikawa	c100_1	a
Itoman	c100_1	a
Izena	c100_1	a_LG_
Kagoshima	c100_1	a
Kametsu	c100_1	a
Koniya	c100_1	a
Kudaka	c100_1	a
Kuji-Oohama	c100_1	a
Kuroshima	c100_1	a
Kushi	c100_1	a
Kyoto	c100_1	a
Matsubara	c100_1	a
Mugiya	c100_1	a
Nago	c100_1	a_LG_
Naze	c100_1	a
Ohama	c100_1	a
Ongachi	c100_1	a
Ou	c100_1	a
Oura	c100_1	a
Ritchou	c100_1	a
Sakimotobu	c100_1	a
San	c100_1	a
Sani	c100_1	a
Sena	c100_1	a_LG_
Serikaku	c100_1	a_LG_
Shiomichi	c100_1	a
Shitooke	c100_1	a
Shuri	c100_1	a
Sonai	c100_1	a
Taketomi	c100_1	a
Tarama	c100_1	a
Tatsugo	c100_1	a
Uechi	c100_1	a
Uegusuku	c100_1	a
Wadomari	c100_1	a
Wan	c100_1	a
Yadon	c100_1	a
Yonaguni	c100_1	a
Yoro	c100_1	a
Yuwan	c100_1	a
Chabana	c101_1	p
Hateruma	c101_1	p
Hentona	c101_1	p_SL_
Hirara	c101_1	p
Ie	c101_1	p
Iheya	c101_1	h
Ikema	c101_1	h
Isen	c101_1	h
Ishigaki	c101_1	p
Ishikawa	c101_1	p_SL_
Itoman	c101_1	h
Izena	c101_1	p_SL_
Kagoshima	c101_1	h
Kametsu	c101_1	h
Keraji	c101_1	p_SL_
Koniya	c101_1	h
Kudaka	c101_1	p
Kuji-Oohama	c101_1	h
Kuroshima	c101_1	h
Kushi	c101_1	h
Kyoto	c101_1	h
Matsubara	c101_1	h
Mugiya	c101_1	p
Nago	c101_1	p
Naze	c101_1	h
Ohama	c101_1	h
Ongachi	c101_1	h
Ou	c101_1	h
Oura	c101_1	p
Ritchou	c101_1	p
Sakimotobu	c101_1	p_SL_
San	c101_1	h
Sani	c101_1	p
Sena	c101_1	h
Serikaku	c101_1	p_SL_
Shiomichi	c101_1	p
Shitooke	c101_1	h
Shuri	c101_1	h
Sonai	c101_1	p
Taketomi	c101_1	p
Tarama	c101_1	p
Tatsugo	c101_1	h
Uechi	c101_1	p
Uegusuku	c101_1	h
Wadomari	c101_1	h
Wan	c101_1	h
Yadon	c101_1	h
Yonaguni	c101_1	h
Yoro	c101_1	h
Yuwan	c101_1	h
Chabana	c102_1	i
Hateruma	c102_1	i
Hentona	c102_1	i_LG_
Hirara	c102_1	i
Ie	c102_1	i
Iheya	c102_1	i
Ikema	c102_1	i
Isen	c102_1	TONE_1
Ishigaki	c102_1	i
Ishikawa	c102_1	i
Itoman	c102_1	i
Izena	c102_1	i_LG_
Kagoshima	c102_1	e
Kametsu	c102_1	TONE_1
Keraji	c102_1	i
Koniya	c102_1	TONE_1
Kudaka	c102_1	i
Kuji-Oohama	c102_1	TONE_1
Kuroshima	c102_1	i
Kushi	c102_1	TONE_1
Kyoto	c102_1	e
Matsubara	c102_1	i
Mugiya	c102_1	i
Nago	c102_1	i
Naze	c102_1	_AT__SL_
Ohama	c102_1	i
Ongachi	c102_1	TONE_1
Ou	c102_1	i
Oura	c102_1	i
Ritchou	c102_1	i
Sakimotobu	c102_1	i
San	c102_1	TONE_1
Sani	c102_1	TONE_1
Sena	c102_1	i_LG_
Serikaku	c102_1	i_LG_
Shiomichi	c102_1	TONE_1
Shitooke	c102_1	I
Shuri	c102_1	i
Sonai	c102_1	i
Taketomi	c102_1	i
Tarama	c102_1	i
Tatsugo	c102_1	TONE_1
Uechi	c102_1	i
Uegusuku	c102_1	i_LG_
Wadomari	c102_1	i
Wan	c102_1	i
Yadon	c102_1	TONE_1
Yonaguni	c102_1	i
Yoro	c102_1	TONE_1
Yuwan	c102_1	TONE_1
Chabana	c103_1	a
Hateruma	c103_1	a
Hentona	c103_1	a
Hirara	c103_1	a
Ie	c103_1	a_LG_
Iheya	c103_1	a_LG_
Ikema	c103_1	a
Isen	c103_1	a
Ishigaki	c103_1	a
Ishikawa	c103_1	a
Itoman	c103_1	a
Izena	c103_1	a_LG_
Kagoshima	c103_1	a
Kametsu	c103_1	a
Keraji	c103_1	a
Koniya	c103_1	a
Kudaka	c103_1	a
Kuji-Oohama	c103_1	a
Kuroshima	c103_1	a
Kushi	c103_1	a
Kyoto	c103_1	a
Matsubara	c103_1	a_LG_
Mugiya	c103_1	a
Nago	c103_1	a_LG_
Naze	c103_1	a
Ohama	c103_1	a
Ongachi	c103_1	a
Ou	c103_1	a
Oura	c103_1	a
Ritchou	c103_1	a
Sakimotobu	c103_1	a_LG_
San	c103_1	a
Sani	c103_1	a
Sena	c103_1	a_LG_
Serikaku	c103_1	a_LG_
Shiomichi	c103_1	a
Shitooke	c103_1	a
Shuri	c103_1	a
Sonai	c103_1	a
Taketomi	c103_1	a
Tarama	c103_1	a
Tatsugo	c103_1	a
Uechi	c103_1	a
Uegusuku	c103_1	a
Wadomari	c103_1	a
Wan	c103_1	a
Yadon	c103_1	a
Yonaguni	c103_1	a
Yoro	c103_1	a
Yuwan	c103_1	a
Chabana	c104_1	u_LG_
Hateruma	c104_1	u_LG_
Hentona	c104_1	u_LG_
Hirara	c104_1	u_LG_
Ie	c104_1	u_LG_
Iheya	c104_1	u_LG_
Ikema	c104_1	u_LG_
Isen	c104_1	u_LG_
Ishigaki	c104_1	u_LG_
Ishikawa	c104_1	u_LG_
Itoman	c104_1	u_LG_
Izena	c104_1	u_LG_
Kagoshima	c104_1	o
Kametsu	c104_1	u_LG_
Keraji	c104_1	u_LG_
Koniya	c104_1	u
Kudaka	c104_1	u_LG_
Kuji-Oohama	c104_1	u
Kuroshima	c104_1	u_LG_
Kushi	c104_1	u_LG_
Kyoto	c104_1	o
Matsubara	c104_1	u_LG_
Mugiya	c104_1	u_LG_
Nago	c104_1	u_LG_
Naze	c104_1	u_LG_
Ohama	c104_1	u_LG_
Ongachi	c104_1	u_LG_
Ou	c104_1	u_LG_
Oura	c104_1	u_LG_
Ritchou	c104_1	u_LG_
Sakimotobu	c104_1	u_LG_
San	c104_1	u_LG_
Sani	c104_1	u_LG_
Sena	c104_1	u_LG_
Serikaku	c104_1	u_LG_
Shiomichi	c104_1	u_LG_
Shitooke	c104_1	u_LG_
Shuri	c104_1	u_LG_
Sonai	c104_1	u_LG_
Taketomi	c104_1	u_LG_
Tarama	c104_1	u_LG_
Tatsugo	c104_1	u_LG_
Uechi	c104_1	u_LG_
Uegusuku	c104_1	u_LG_
Wadomari	c104_1	u_LG_
Wan	c104_1	u_LG_
Yadon	c104_1	u_LG_
Yonaguni	c104_1	u_LG_
Yoro	c104_1	u_LG_
Yuwan	c104_1	u_LG_
Chabana	c105_1	tS
Hateruma	c105_1	ts
Hentona	c105_1	tS
Hirara	c105_1	ts
Ie	c105_1	ts
Iheya	c105_1	tS
Ikema	c105_1	ts
Isen	c105_1	ts
Ishigaki	c105_1	ts
Ishikawa	c105_1	tS
Itoman	c105_1	tS
Izena	c105_1	tS
Kagoshima	c105_1	_GS_
Kametsu	c105_1	ts
Keraji	c105_1	t
Koniya	c105_1	t
Kudaka	c105_1	t
Kuji-Oohama	c105_1	t
Kuroshima	c105_1	tS
Kushi	c105_1	t
Kyoto	c105_1	t
Matsubara	c105_1	tS
Mugiya	c105_1	tS
Nago	c105_1	tS
Naze	c105_1	tS
Ohama	c105_1	ts
Ongachi	c105_1	ts
Ou	c105_1	tS
Oura	c105_1	ts
Ritchou	c105_1	tS
Sakimotobu	c105_1	tS
San	c105_1	ts
Sani	c105_1	ts
Sena	c105_1	tS
Serikaku	c105_1	tS
Shiomichi	c105_1	t
Shitooke	c105_1	ts
Shuri	c105_1	tS
Sonai	c105_1	tS
Taketomi	c105_1	ts
Tarama	c105_1	ts
Tatsugo	c105_1	ts
Uechi	c105_1	ts
Uegusuku	c105_1	tS
Wadomari	c105_1	tS
Wan	c105_1	t
Yadon	c105_1	t
Yonaguni	c105_1	tS
Yoro	c105_1	t
Yuwan	c105_1	ts
Chabana	c106_1	ZERO
Hateruma	c106_1	ZERO
Hentona	c106_1	ZERO
Hirara	c106_1	ZERO
Ie	c106_1	ZERO
Iheya	c106_1	ZERO
Ikema	c106_1	ZERO
Isen	c106_1	ZERO
Ishigaki	c106_1	ZERO
Ishikawa	c106_1	ZERO
Itoman	c106_1	ZERO
Izena	c106_1	ZERO
Kagoshima	c106_1	ZERO
Kametsu	c106_1	ZERO
Keraji	c106_1	ZERO
Koniya	c106_1	ZERO
Kudaka	c106_1	ZERO
Kuji-Oohama	c106_1	ZERO
Kuroshima	c106_1	ZERO
Kushi	c106_1	ZERO
Kyoto	c106_1	ts
Matsubara	c106_1	ZERO
Mugiya	c106_1	ZERO
Nago	c106_1	ZERO
Naze	c106_1	ZERO
Ohama	c106_1	ZERO
Ongachi	c106_1	ZERO
Ou	c106_1	ZERO
Oura	c106_1	ZERO
Ritchou	c106_1	ZERO
Sakimotobu	c106_1	ZERO
San	c106_1	ZERO
Sani	c106_1	ZERO
Sena	c106_1	ZERO
Serikaku	c106_1	ZERO
Shiomichi	c106_1	ZERO
Shitooke	c106_1	ZERO
Shuri	c106_1	ZERO
Sonai	c106_1	ZERO
Taketomi	c106_1	ZERO
Tarama	c106_1	ZERO
Tatsugo	c106_1	ZERO
Uechi	c106_1	ZERO
Uegusuku	c106_1	ZERO
Wadomari	c106_1	ZERO
Wan	c106_1	ZERO
Yadon	c106_1	ZERO
Yonaguni	c106_1	ZERO
Yoro	c106_1	ZERO
Yuwan	c106_1	ZERO
Chabana	c107_1	i
Hateruma	c107_1	TONE_1
Hentona	c107_1	i
Hirara	c107_1	TONE_1
Ie	c107_1	i
Iheya	c107_1	i
Ikema	c107_1	TONE_1
Isen	c107_1	TONE_1
Ishigaki	c107_1	TONE_1
Ishikawa	c107_1	i
Itoman	c107_1	i
Izena	c107_1	i
Kagoshima	c107_1	ZERO
Kametsu	c107_1	TONE_1
Keraji	c107_1	u
Koniya	c107_1	ZERO
Kudaka	c107_1	i
Kuji-Oohama	c107_1	ZERO
Kuroshima	c107_1	i
Kushi	c107_1	TONE_1
Kyoto	c107_1	u
Matsubara	c107_1	i
Mugiya	c107_1	i
Nago	c107_1	i
Naze	c107_1	i
Ohama	c107_1	TONE_1
Ongachi	c107_1	TONE_1
Ou	c107_1	i
Oura	c107_1	TONE_1
Ritchou	c107_1	i
Sakimotobu	c107_1	i
San	c107_1	TONE_1
Sani	c107_1	TONE_1
Sena	c107_1	i
Serikaku	c107_1	i
Shiomichi	c107_1	u
Shitooke	c107_1	u
Shuri	c107_1	i
Sonai	c107_1	i
Taketomi	c107_1	TONE_1
Tarama	c107_1	TONE_1
Tatsugo	c107_1	TONE_1
Uechi	c107_1	TONE_1
Uegusuku	c107_1	i
Wadomari	c107_1	i
Wan	c107_1	u
Yadon	c107_1	ZERO
Yonaguni	c107_1	i
Yoro	c107_1	ZERO
Yuwan	c107_1	TONE_1
Hentona	c108_1	m
Iheya	c108_1	m
Ikema	c108_1	m
Isen	c108_1	m
Ishikawa	c108_1	m
Itoman	c108_1	m
Izena	c108_1	m
Kagoshima	c108_1	m
Kametsu	c108_1	m
Keraji	c108_1	!n
Koniya	c108_1	m
Kudaka	c108_1	m
Kuji-Oohama	c108_1	m
Kushi	c108_1	m
Kyoto	c108_1	m
Matsubara	c108_1	m
Mugiya	c108_1	m
Nago	c108_1	m
Naze	c108_1	m
Ohama	c108_1	m
Ongachi	c108_1	m
Ou	c108_1	m
Ritchou	c108_1	m
Sakimotobu	c108_1	m
San	c108_1	m
Sani	c108_1	m
Sena	c108_1	m
Serikaku	c108_1	m
Shiomichi	c108_1	m
Shitooke	c108_1	m
Shuri	c108_1	m
Tatsugo	c108_1	m
Uegusuku	c108_1	m
Wadomari	c108_1	m
Wan	c108_1	m
Yadon	c108_1	m
Yoro	c108_1	m
Yuwan	c108_1	m
Hentona	c109_2	i_LG_
Iheya	c109_2	i_LG_
Ikema	c109_2	i_LG_
Isen	c109_2	i_LG_
Ishikawa	c109_2	i_LG_
Itoman	c109_2	i_LG_
Izena	c109_2	i_LG_
Kagoshima	c109_2	i
Kametsu	c109_2	i_LG_
Keraji	c109_2	i_LG_
Koniya	c109_2	i_LG_
Kudaka	c109_2	i_LG_
Kuji-Oohama	c109_2	i_LG_
Kushi	c109_2	i_LG_
Kyoto	c109_2	i_LG_
Matsubara	c109_2	i_LG_
Mugiya	c109_2	i_LG_
Nago	c109_2	i_LG_
Naze	c109_2	i
Ohama	c109_2	i_LG_
Ongachi	c109_2	i_LG_
Ou	c109_2	i_LG_
Ritchou	c109_2	i_LG_
Sakimotobu	c109_2	i_LG_
San	c109_2	i_LG_
Sani	c109_2	i
Sena	c109_2	i_LG_
Serikaku	c109_2	i_LG_
Shiomichi	c109_2	i_LG_
Shitooke	c109_2	i_LG_
Shuri	c109_2	i_LG_
Tatsugo	c109_2	i_LG_
Uegusuku	c109_2	i_LG_
Wadomari	c109_2	i_LG_
Wan	c109_2	i_LG_
Yadon	c109_2	i_LG_
Yoro	c109_2	i_LG_
Yuwan	c109_2	i_LG_
Chabana	c10_3	j
Hateruma	c10_3	j
Hentona	c10_3	j
Hirara	c10_3	j
Ie	c10_3	j
Iheya	c10_3	j
Ikema	c10_3	j
Isen	c10_3	j
Ishigaki	c10_3	j
Ishikawa	c10_3	j
Itoman	c10_3	j
Izena	c10_3	j
Kagoshima	c10_3	j
Kametsu	c10_3	j
Keraji	c10_3	j
Koniya	c10_3	j
Kudaka	c10_3	j
Kuji-Oohama	c10_3	j
Kuroshima	c10_3	j
Kushi	c10_3	j
Kyoto	c10_3	j
Matsubara	c10_3	j
Mugiya	c10_3	j
Nago	c10_3	j
Naze	c10_3	j
Ohama	c10_3	j
Ongachi	c10_3	j
Ou	c10_3	j
Oura	c10_3	j
Ritchou	c10_3	j
Sakimotobu	c10_3	j
San	c10_3	j
Sani	c10_3	j
Sena	c10_3	j
Serikaku	c10_3	j
Shiomichi	c10_3	j
Shitooke	c10_3	j
Shuri	c10_3	j
Sonai	c10_3	j
Taketomi	c10_3	j
Tarama	c10_3	j
Tatsugo	c10_3	j
Uechi	c10_3	j
Uegusuku	c10_3	j
Wadomari	c10_3	j
Wan	c10_3	j
Yadon	c10_3	j
Yonaguni	c10_3	d
Yoro	c10_3	j
Yuwan	c10_3	j
Chabana	c110_2	w
Hateruma	c110_2	b
Hentona	c110_2	_GS_
Hirara	c110_2	b
Ie	c110_2	w
Iheya	c110_2	w
Ikema	c110_2	b
Isen	c110_2	ZERO
Ishigaki	c110_2	b
Ishikawa	c110_2	w
Itoman	c110_2	w
Izena	c110_2	w
Kagoshima	c110_2	ZERO
Kametsu	c110_2	ZERO
Keraji	c110_2	ZERO
Koniya	c110_2	ZERO
Kudaka	c110_2	g
Kuji-Oohama	c110_2	ZERO
Kuroshima	c110_2	b
Kushi	c110_2	ZERO
Kyoto	c110_2	ZERO
Matsubara	c110_2	ZERO
Mugiya	c110_2	ZERO
Nago	c110_2	ZERO
Naze	c110_2	ZERO
Ohama	c110_2	b
Ongachi	c110_2	ZERO
Ou	c110_2	ZERO
Oura	c110_2	b
Ritchou	c110_2	w
Sakimotobu	c110_2	ZERO
San	c110_2	ZERO
Sani	c110_2	ZERO
Sena	c110_2	ZERO
Serikaku	c110_2	ZERO
Shiomichi	c110_2	ZERO
Shitooke	c110_2	ZERO
Shuri	c110_2	w
Sonai	c110_2	b
Taketomi	c110_2	b
Tarama	c110_2	b
Tatsugo	c110_2	ZERO
Uechi	c110_2	b
Uegusuku	c110_2	ZERO
Wadomari	c110_2	ZERO
Wan	c110_2	ZERO
Yonaguni	c110_2	b
Yoro	c110_2	ZERO
Chabana	c111_1	ZERO
Hateruma	c111_1	ZERO
Hentona	c111_1	ZERO
Hirara	c111_1	j
Ie	c111_1	ZERO
Iheya	c111_1	ZERO
Ikema	c111_1	j
Isen	c111_1	j
Ishigaki	c111_1	ZERO
Ishikawa	c111_1	ZERO
Itoman	c111_1	ZERO
Izena	c111_1	ZERO
Kagoshima	c111_1	j
Kametsu	c111_1	j
Keraji	c111_1	j
Koniya	c111_1	j
Kudaka	c111_1	ZERO
Kuji-Oohama	c111_1	j
Kuroshima	c111_1	ZERO
Kushi	c111_1	j
Kyoto	c111_1	j
Matsubara	c111_1	j
Mugiya	c111_1	j
Nago	c111_1	j
Naze	c111_1	j
Ohama	c111_1	ZERO
Ongachi	c111_1	j
Ou	c111_1	j
Oura	c111_1	j
Ritchou	c111_1	ZERO
Sakimotobu	c111_1	j
San	c111_1	j
Sani	c111_1	j
Sena	c111_1	j
Serikaku	c111_1	j
Shiomichi	c111_1	j
Shitooke	c111_1	j
Shuri	c111_1	ZERO
Sonai	c111_1	ZERO
Taketomi	c111_1	ZERO
Tatsugo	c111_1	j
Uechi	c111_1	j
Uegusuku	c111_1	j
Wadomari	c111_1	j
Wan	c111_1	j
Yonaguni	c111_1	ZERO
Yoro	c111_1	j
Chabana	c112_1	u
Hateruma	c112_1	i
Hentona	c112_1	u
Hirara	c112_1	u_LG_
Ie	c112_1	i_LG_
Iheya	c112_1	i_LG_
Ikema	c112_1	u_LG_
Isen	c112_1	u_LG_
Ishigaki	c112_1	i_LG_
Ishikawa	c112_1	i_LG_
Itoman	c112_1	i_LG_
Izena	c112_1	i_LG_
Kagoshima	c112_1	o
Kametsu	c112_1	u_LG_
Keraji	c112_1	u_LG_
Koniya	c112_1	i_LG_
Kudaka	c112_1	u
Kuji-Oohama	c112_1	i_LG_
Kuroshima	c112_1	i_LG_
Kushi	c112_1	i_LG_
Kyoto	c112_1	o
Matsubara	c112_1	u_LG_
Mugiya	c112_1	u_LG_
Nago	c112_1	i_LG_
Naze	c112_1	u
Ohama	c112_1	i_LG_
Ongachi	c112_1	i_LG_
Ou	c112_1	i_LG_
Oura	c112_1	u_LG_
Ritchou	c112_1	u
Sakimotobu	c112_1	i_LG_
San	c112_1	u_LG_
Sani	c112_1	u
Sena	c112_1	u_LG_
Serikaku	c112_1	u_LG_
Shiomichi	c112_1	u_LG_
Shitooke	c112_1	u_LG_
Shuri	c112_1	i_LG_
Sonai	c112_1	i_LG_
Taketomi	c112_1	i_LG_
Tatsugo	c112_1	u
Uechi	c112_1	u_LG_
Uegusuku	c112_1	u_LG_
Wadomari	c112_1	u_LG_
Wan	c112_1	u_LG_
Yonaguni	c112_1	i
Yoro	c112_1	i_LG_
Chabana	c113_1	i
Hateruma	c113_1	ZERO
Hentona	c113_1	i
Hirara	c113_1	ZERO
Ie	c113_1	ZERO
Iheya	c113_1	ZERO
Ikema	c113_1	ZERO
Isen	c113_1	ZERO
Ishigaki	c113_1	ZERO
Ishikawa	c113_1	ZERO
Itoman	c113_1	ZERO
Izena	c113_1	ZERO
Kagoshima	c113_1	ZERO
Kametsu	c113_1	ZERO
Keraji	c113_1	ZERO
Koniya	c113_1	ZERO
Kudaka	c113_1	i
Kuji-Oohama	c113_1	ZERO
Kuroshima	c113_1	ZERO
Kushi	c113_1	ZERO
Kyoto	c113_1	ZERO
Matsubara	c113_1	ZERO
Mugiya	c113_1	ZERO
Nago	c113_1	ZERO
Naze	c113_1	ZERO
Ohama	c113_1	ZERO
Ongachi	c113_1	ZERO
Ou	c113_1	ZERO
Oura	c113_1	ZERO
Ritchou	c113_1	i
Sakimotobu	c113_1	ZERO
San	c113_1	ZERO
Sani	c113_1	ZERO
Sena	c113_1	ZERO
Serikaku	c113_1	ZERO
Shiomichi	c113_1	ZERO
Shitooke	c113_1	ZERO
Shuri	c113_1	ZERO
Sonai	c113_1	ZERO
Taketomi	c113_1	ZERO
Tatsugo	c113_1	ZERO
Uechi	c113_1	ZERO
Uegusuku	c113_1	ZERO
Wadomari	c113_1	ZERO
Wan	c113_1	ZERO
Yonaguni	c113_1	ZERO
Yoro	c113_1	ZERO
Chabana	c114_1	a
Hateruma	c114_1	a
Hentona	c114_1	a
Hirara	c114_1	a
Ie	c114_1	a
Iheya	c114_1	a
Ikema	c114_1	a
Isen	c114_1	a
Ishigaki	c114_1	a
Ishikawa	c114_1	a
Itoman	c114_1	a
Izena	c114_1	a
Kagoshima	c114_1	a
Kametsu	c114_1	a
Keraji	c114_1	a
Koniya	c114_1	a
Kudaka	c114_1	a
Kuji-Oohama	c114_1	a
Kuroshima	c114_1	a
Kushi	c114_1	a
Kyoto	c114_1	a
Matsubara	c114_1	a
Mugiya	c114_1	a
Nago	c114_1	a
Naze	c114_1	a
Ohama	c114_1	!a_LG_
Ongachi	c114_1	a
Ou	c114_1	a
Oura	c114_1	a
Ritchou	c114_1	a
Sakimotobu	c114_1	a
San	c114_1	a
Sani	c114_1	a
Sena	c114_1	a
Serikaku	c114_1	a
Shiomichi	c114_1	a
Shitooke	c114_1	a
Shuri	c114_1	a
Sonai	c114_1	a
Taketomi	c114_1	a
Tarama	c114_1	a
Tatsugo	c114_1	a
Uechi	c114_1	a
Uegusuku	c114_1	a
Wadomari	c114_1	a
Wan	c114_1	a
Yadon	c114_1	a
Yonaguni	c114_1	a
Yoro	c114_1	a
Yuwan	c114_1	a
Chabana	c115_1	ZERO
Hateruma	c115_1	i
Hentona	c115_1	i
Hirara	c115_1	i
Ie	c115_1	i
Iheya	c115_1	i
Ikema	c115_1	i
Isen	c115_1	_AT__SL_
Ishigaki	c115_1	i
Ishikawa	c115_1	i
Itoman	c115_1	i
Izena	c115_1	i
Kagoshima	c115_1	u
Kametsu	c115_1	TONE_1
Keraji	c115_1	i
Koniya	c115_1	e
Kudaka	c115_1	i
Kuji-Oohama	c115_1	e
Kuroshima	c115_1	i
Kushi	c115_1	TONE_1
Kyoto	c115_1	e
Matsubara	c115_1	i
Mugiya	c115_1	ZERO
Nago	c115_1	i
Naze	c115_1	_AT__SL_
Ohama	c115_1	i
Ongachi	c115_1	TONE_1
Ou	c115_1	i
Oura	c115_1	i
Ritchou	c115_1	i
Sakimotobu	c115_1	i
San	c115_1	TONE_1
Sani	c115_1	TONE_1
Sena	c115_1	i
Serikaku	c115_1	i
Shiomichi	c115_1	i
Shitooke	c115_1	TONE_1
Shuri	c115_1	i
Sonai	c115_1	i
Taketomi	c115_1	i
Tarama	c115_1	i
Tatsugo	c115_1	_AT__SL_
Uechi	c115_1	i
Uegusuku	c115_1	i
Wadomari	c115_1	i
Wan	c115_1	i
Yadon	c115_1	TONE_1
Yonaguni	c115_1	i
Yoro	c115_1	_AT__SL_
Yuwan	c115_1	TONE_1
Chabana	c116_2	j
Hateruma	c116_2	ZERO
Hentona	c116_2	ZERO
Hirara	c116_2	ZERO
Ie	c116_2	ZERO
Iheya	c116_2	ZERO
Ikema	c116_2	ZERO
Isen	c116_2	ZERO
Ishigaki	c116_2	ZERO
Ishikawa	c116_2	ZERO
Itoman	c116_2	ZERO
Izena	c116_2	ZERO
Kagoshima	c116_2	ZERO
Kametsu	c116_2	ZERO
Keraji	c116_2	ZERO
Koniya	c116_2	ZERO
Kudaka	c116_2	ZERO
Kuji-Oohama	c116_2	ZERO
Kuroshima	c116_2	ZERO
Kushi	c116_2	ZERO
Kyoto	c116_2	ZERO
Matsubara	c116_2	ZERO
Mugiya	c116_2	j
Nago	c116_2	ZERO
Naze	c116_2	ZERO
Ohama	c116_2	ZERO
Ongachi	c116_2	ZERO
Ou	c116_2	ZERO
Oura	c116_2	ZERO
Ritchou	c116_2	ZERO
Sakimotobu	c116_2	ZERO
San	c116_2	ZERO
Sani	c116_2	ZERO
Sena	c116_2	ZERO
Serikaku	c116_2	ZERO
Shiomichi	c116_2	ZERO
Shitooke	c116_2	ZERO
Shuri	c116_2	ZERO
Sonai	c116_2	ZERO
Taketomi	c116_2	ZERO
Tarama	c116_2	ZERO
Tatsugo	c116_2	ZERO
Uechi	c116_2	ZERO
Uegusuku	c116_2	ZERO
Wadomari	c116_2	ZERO
Wan	c116_2	ZERO
Yadon	c116_2	ZERO
Yonaguni	c116_2	ZERO
Yoro	c116_2	ZERO
Yuwan	c116_2	ZERO
Chabana	c117_1	k
Hateruma	c117_1	f
Hentona	c117_1	k_GS_
Hirara	c117_1	f
Ie	c117_1	ZERO
Iheya	c117_1	k
Ikema	c117_1	f
Isen	c117_1	k
Ishigaki	c117_1	p_SL_
Ishikawa	c117_1	k
Itoman	c117_1	k
Izena	c117_1	k
Kagoshima	c117_1	k
Kametsu	c117_1	k
Koniya	c117_1	k
Kudaka	c117_1	k
Kuji-Oohama	c117_1	k
Kuroshima	c117_1	ZERO
Kushi	c117_1	k
Kyoto	c117_1	k
Matsubara	c117_1	k
Nago	c117_1	k
Naze	c117_1	k
Ohama	c117_1	p_SL_
Ongachi	c117_1	k
Ou	c117_1	k
Oura	c117_1	s
Sakimotobu	c117_1	k
San	c117_1	k
Sani	c117_1	k
Serikaku	c117_1	k
Shitooke	c117_1	s
Shuri	c117_1	k
Sonai	c117_1	p_SL_
Taketomi	c117_1	s
Tarama	c117_1	f
Tatsugo	c117_1	k
Uechi	c117_1	f
Yadon	c117_1	k
Yonaguni	c117_1	ZERO
Yoro	c117_1	k
Yuwan	c117_1	k
Chabana	c118_1	u
Hateruma	c118_1	u
Hentona	c118_1	u
Hirara	c118_1	u
Ie	c118_1	ZERO
Iheya	c118_1	u
Ikema	c118_1	ZERO
Isen	c118_1	u
Ishigaki	c118_1	u
Ishikawa	c118_1	u
Itoman	c118_1	u
Izena	c118_1	u
Kagoshima	c118_1	u
Kametsu	c118_1	u
Koniya	c118_1	u
Kudaka	c118_1	u
Kuji-Oohama	c118_1	u
Kuroshima	c118_1	ZERO
Kushi	c118_1	u
Kyoto	c118_1	u
Matsubara	c118_1	u
Nago	c118_1	u
Naze	c118_1	u
Ohama	c118_1	u
Ongachi	c118_1	u
Ou	c118_1	u
Oura	c118_1	ZERO
Sakimotobu	c118_1	u
San	c118_1	u
Sani	c118_1	u
Serikaku	c118_1	u
Shitooke	c118_1	ZERO
Shuri	c118_1	u
Sonai	c118_1	u
Taketomi	c118_1	ZERO
Tarama	c118_1	u
Tatsugo	c118_1	u
Uechi	c118_1	u
Yadon	c118_1	u
Yonaguni	c118_1	ZERO
Yoro	c118_1	u
Yuwan	c118_1	u
Chabana	c119_1	s
Hateruma	c119_1	s
Hentona	c119_1	s
Hirara	c119_1	s
Ie	c119_1	ts_GS_
Iheya	c119_1	s
Ikema	c119_1	f
Isen	c119_1	s
Ishigaki	c119_1	s
Ishikawa	c119_1	s
Itoman	c119_1	s
Izena	c119_1	s
Kagoshima	c119_1	s
Kametsu	c119_1	s
Koniya	c119_1	s
Kudaka	c119_1	K
Kuji-Oohama	c119_1	s
Kuroshima	c119_1	dz
Kushi	c119_1	s
Kyoto	c119_1	s
Matsubara	c119_1	s
Nago	c119_1	s
Naze	c119_1	s
Ohama	c119_1	s
Ongachi	c119_1	s
Ou	c119_1	s
Oura	c119_1	s
Sakimotobu	c119_1	s
San	c119_1	s
Sani	c119_1	s
Serikaku	c119_1	s
Shitooke	c119_1	s
Shuri	c119_1	s
Sonai	c119_1	s
Taketomi	c119_1	s
Tarama	c119_1	S
Tatsugo	c119_1	s
Uechi	c119_1	s
Yadon	c119_1	s
Yonaguni	c119_1	ts_GS_
Yoro	c119_1	s
Yuwan	c119_1	s
Chabana	c11_2	ZERO
Hateruma	c11_2	ZERO
Hentona	c11_2	ZERO
Hirara	c11_2	ZERO
Ie	c11_2	ZERO
Iheya	c11_2	ZERO
Ikema	c11_2	ZERO
Isen	c11_2	ZERO
Ishigaki	c11_2	ZERO
Ishikawa	c11_2	ZERO
Itoman	c11_2	ZERO
Izena	c11_2	ZERO
Kagoshima	c11_2	ZERO
