ID	DOCULECT	CONCEPT	IPA	SEGMENTS	ALIGNMENT	COGID
185	Sonai	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
186	Taketomi	BAMBOO_MORPHEME1	t a i	t a i	t a - - i	3
187	Tarama	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
188	Uechi	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
189	Uegusuku	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
190	Wadomari	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
191	Wan	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
192	Yonaguni	BAMBOO_MORPHEME1	t a ɡ i	t a ɡ i	t a - ɡ i	3
193	Chabana	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
194	Hateruma	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
195	Hentona	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
196	Hirara	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
197	Ie	BEAN_MORPHEME1	m a m iː	m a m iː	m a m iː	4
198	Iheya	BEAN_MORPHEME1	m aː m iː	m aː m iː	m aː m iː	4
199	Ikema	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
200	Isen	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
201	Ishigaki	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
202	Ishikawa	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
203	Itoman	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
204	Izena	BEAN_MORPHEME1	m a m iː	m a m iː	m a m iː	4
205	Kagoshima	BEAN_MORPHEME1	m a m e	m a m e	m a m e	4
206	Kametsu	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
207	Keraji	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
208	Koniya	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
209	Kudaka	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
210	Kuji-Oohama	BEAN_MORPHEME1	m a m ɨː	m a m ɨː	m a m ɨː	4
211	Kuroshima	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
212	Kushi	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
213	Kyoto	BEAN_MORPHEME1	m a m e	m a m e	m a m e	4
214	Matsubara	BEAN_MORPHEME1	m a m ɨː	m a m ɨː	m a m ɨː	4
215	Mugiya	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
216	Nago	BEAN_MORPHEME1	m a m iː	m a m iː	m a m iː	4
217	Naze	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
218	Ohama	BEAN_MORPHEME1	m aː m iː	m aː m iː	m aː m iː	4
219	Ongachi	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
220	Ou	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
221	Oura	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
222	Ritchou	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
223	Sakimotobu	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
224	San	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
225	Sani	BEAN_MORPHEME1	m a w̃ ï̃	m a w̃ ï̃	m a w̃ ï̃	4
226	Sena	BEAN_MORPHEME1	m aː m iː	m aː m iː	m aː m iː	4
227	Serikaku	BEAN_MORPHEME1	m aː m iː	m aː m iː	m aː m iː	4
228	Shiomichi	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
229	Shitooke	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
230	Shuri	BEAN_MORPHEME1	m aː m i	m aː m i	m aː m i	4
231	Sonai	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
232	Taketomi	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
233	Tarama	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
234	Tatsugo	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
235	Uechi	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
236	Uegusuku	BEAN_MORPHEME1	m a m iː	m a m iː	m a m iː	4
237	Wadomari	BEAN_MORPHEME1	m aː m i	m aː m i	m aː m i	4
238	Wan	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
239	Yadon	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
240	Yonaguni	BEAN_MORPHEME1	m a m i	m a m i	m a m i	4
241	Yoro	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
242	Yuwan	BEAN_MORPHEME1	m a m ɨ	m a m ɨ	m a m ɨ	4
243	Chabana	BEARD_MORPHEME1	p i ɡ i	p i ɡ i	p i - ɡ i	5
244	Hateruma	BEARD_MORPHEME1	p i n i	p i n i	p i n - i	5
245	Hentona	BEARD_MORPHEME1	ɸ i ʤ i	ɸ i ʤ i	ɸ i - ʤ i	5
246	Hirara	BEARD_MORPHEME1	p ɨ ɡ i	p ɨ ɡ i	p ɨ - ɡ i	5
247	Ie	BEARD_MORPHEME1	tˀ i ʤ i	tˀ i ʤ i	tˀ i - ʤ i	5
248	Iheya	BEARD_MORPHEME1	ɸ i ʤ iː	ɸ i ʤ iː	ɸ i - ʤ iː	5
249	Ikema	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
250	Isen	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
251	Ishigaki	BEARD_MORPHEME1	p ɨ n i	p ɨ n i	p ɨ n - i	5
252	Ishikawa	BEARD_MORPHEME1	ɸ i ʤ i	ɸ i ʤ i	ɸ i - ʤ i	5
253	Itoman	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
254	Izena	BEARD_MORPHEME1	ɸ i ʤ iː	ɸ i ʤ iː	ɸ i - ʤ iː	5
255	Kagoshima	BEARD_MORPHEME1	ç i ɡ e	ç i ɡ e	ç i - ɡ e	5
256	Kametsu	BEARD_MORPHEME1	s ɨ ɡ i	s ɨ ɡ i	s ɨ - ɡ i	5
257	Kametsu	BEARD_MORPHEME1	ʃ i ɡ i	ʃ i ɡ i	ʃ i - ɡ i	5
258	Keraji	BEARD_MORPHEME1	ç i ɡ iː	ç i ɡ iː	ç i - ɡ iː	5
259	Koniya	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
260	Koniya	BEARD_MORPHEME1	ç i ɡ iː	ç i ɡ iː	ç i - ɡ iː	5
261	Kudaka	BEARD_MORPHEME1	pˀ i ɡ i	pˀ i ɡ i	pˀ i - ɡ i	5
262	Kuji-Oohama	BEARD_MORPHEME1	ç i ɡ iː	ç i ɡ iː	ç i - ɡ iː	5
263	Kuroshima	BEARD_MORPHEME1	p i n i	p i n i	p i n - i	5
264	Kushi	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
265	Kyoto	BEARD_MORPHEME1	ç i ŋ e	ç i ŋ e	ç i ŋ - e	5
266	Matsubara	BEARD_MORPHEME1	ʃ i ɡ i	ʃ i ɡ i	ʃ i - ɡ i	5
267	Mugiya	BEARD_MORPHEME1	p i ɡ i	p i ɡ i	p i - ɡ i	5
268	Nago	BEARD_MORPHEME1	p i ɡ i	p i ɡ i	p i - ɡ i	5
269	Naze	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
270	Ohama	BEARD_MORPHEME1	p i n i	p i n i	p i n - i	5
271	Ongachi	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
272	Ou	BEARD_MORPHEME1	ç i ʤ i	ç i ʤ i	ç i - ʤ i	5
273	Ou	BEARD_MORPHEME1	ɸ i ʤ i	ɸ i ʤ i	ɸ i - ʤ i	5
274	Oura	BEARD_MORPHEME1	p ɨ ɡ i	p ɨ ɡ i	p ɨ - ɡ i	5
275	Ritchou	BEARD_MORPHEME1	p i ɡ i	p i ɡ i	p i - ɡ i	5
276	Sakimotobu	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
277	San	BEARD_MORPHEME1	s ɨ ɡ ɨ	s ɨ ɡ ɨ	s ɨ - ɡ ɨ	5
278	Sani	BEARD_MORPHEME1	p i ɡ i	p i ɡ i	p i - ɡ i	5
279	Sena	BEARD_MORPHEME1	ç i ʤ iː	ç i ʤ iː	ç i - ʤ iː	5
280	Serikaku	BEARD_MORPHEME1	ç i ɡ iː	ç i ɡ iː	ç i - ɡ iː	5
281	Shiomichi	BEARD_MORPHEME1	p i n i	p i n i	p i n - i	5
282	Shitooke	BEARD_MORPHEME1	ç i n i	ç i n i	ç i n - i	5
283	Shuri	BEARD_MORPHEME1	ɸ i ʤ i	ɸ i ʤ i	ɸ i - ʤ i	5
284	Sonai	BEARD_MORPHEME1	p i n i	p i n i	p i n - i	5
285	Taketomi	BEARD_MORPHEME1	p i n i	p i n i	p i n - i	5
286	Tarama	BEARD_MORPHEME1	p ɨ ɡ i	p ɨ ɡ i	p ɨ - ɡ i	5
287	Tatsugo	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
288	Uechi	BEARD_MORPHEME1	p ɨ ɡ i	p ɨ ɡ i	p ɨ - ɡ i	5
289	Uegusuku	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
290	Wadomari	BEARD_MORPHEME1	ç i ʤ i	ç i ʤ i	ç i - ʤ i	5
291	Wan	BEARD_MORPHEME1	ç i n i	ç i n i	ç i n - i	5
292	Yadon	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
293	Yonaguni	BEARD_MORPHEME1	ŋ ɡ i	ŋ ɡ i	- - ŋ ɡ i	5
294	Yoro	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
295	Yuwan	BEARD_MORPHEME1	ç i ɡ i	ç i ɡ i	ç i - ɡ i	5
296	Chabana	BIRD_MORPHEME1	t u i	t u i	t u i - -	6
297	Hateruma	BIRD_MORPHEME1	t u r ɨ	t u r ɨ	t u - r ɨ	6
298	Hentona	BIRD_MORPHEME1	t u i	t u i	t u i - -	6
299	Hirara	BIRD_MORPHEME1	t u ɨ	t u ɨ	t u ɨ - -	6
300	Ie	BIRD_MORPHEME1	t u i	t u i	t u i - -	6
301	Iheya	BIRD_MORPHEME1	t u i	t u i	t u i - -	6
302	Ikema	BIRD_MORPHEME1	t u i	t u i	t u i - -	6
303	Isen	BIRD_MORPHEME1	t u r i	t u r i	t u - r i	6
304	Ishigaki	BIRD_MORPHEME1	t u r ɨ	t u r ɨ	t u - r ɨ	6
305	Ishikawa	BIRD_MORPHEME1	t u i	t u i	t u i - -	6
306	Itoman	BIRD_MORPHEME1	t u i	t u i	t u i - -	6
