ID	DOCULECT	CONCEPT	IPA	SEGMENTS	ALIGNMENT	COGID
1	Chabana	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
2	Hateruma	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
3	Hateruma	ABOVE_MORPHEME1	ʔ uː	ʔ uː	ʔ - uː -	0
4	Hentona	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
5	Ie	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	ʔ w iː -	0
6	Iheya	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	ʔ w iː -	0
7	Isen	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
8	Ishigaki	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
9	Ishikawa	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	ʔ w iː -	0
10	Itoman	ABOVE_MORPHEME1	w iː	w iː	w - iː -	0
11	Izena	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	ʔ w iː -	0
12	Kagoshima	ABOVE_MORPHEME1	u e	u e	- - u e	0
13	Kametsu	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
14	Keraji	ABOVE_MORPHEME1	w iː	w iː	w - iː -	0
15	Koniya	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
16	Koniya	ABOVE_MORPHEME1	ʔ w ɨː	ʔ w ɨː	ʔ w ɨː -	0
17	Kudaka	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
18	Kuji-Oohama	ABOVE_MORPHEME1	ʔ w ɨː	ʔ w ɨː	ʔ w ɨː -	0
19	Kuroshima	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
20	Kushi	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
21	Kyoto	ABOVE_MORPHEME1	u e	u e	- - u e	0
22	Matsubara	ABOVE_MORPHEME1	ʔ w ɨː	ʔ w ɨː	ʔ w ɨː -	0
23	Mugiya	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
24	Nago	ABOVE_MORPHEME1	ʔ iː	ʔ iː	ʔ - iː -	0
25	Naze	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
26	Naze	ABOVE_MORPHEME1	ʔ w ɨ	ʔ w ɨ	ʔ w ɨ -	0
27	Ohama	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
28	Ongachi	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
29	Ou	ABOVE_MORPHEME1	ʔ iː	ʔ iː	ʔ - iː -	0
30	Ou	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	ʔ w iː -	0
31	Ritchou	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
32	Sakimotobu	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
33	San	ABOVE_MORPHEME1	ʔ w ɨː	ʔ w ɨː	ʔ w ɨː -	0
34	Sani	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
35	Sena	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
36	Serikaku	ABOVE_MORPHEME1	w u i	w u i	w - u i	0
37	Shiomichi	ABOVE_MORPHEME1	w iː	w iː	w - iː -	0
38	Shitooke	ABOVE_MORPHEME1	w u ɨ	w u ɨ	w - u ɨ	0
39	Shuri	ABOVE_MORPHEME1	ʔ w iː	ʔ w iː	ʔ w iː -	0
40	Sonai	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
41	Taketomi	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
42	Tarama	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
43	Tatsugo	ABOVE_MORPHEME1	ʔ u ɨ	ʔ u ɨ	ʔ - u ɨ	0
44	Uechi	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
45	Uegusuku	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
46	Wadomari	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
47	Wan	ABOVE_MORPHEME1	w iː	w iː	w - iː -	0
48	Yadon	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
49	Yoro	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
50	Yuwan	ABOVE_MORPHEME1	ʔ u i	ʔ u i	ʔ - u i	0
51	Chabana	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
52	Hateruma	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
53	Hentona	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
54	Ie	ADJ_MORPHEME	s a	s a	- s a - - - -	1
55	Ie	ADJ_MORPHEME	s a ʔ a ɴ	s a ʔ a ɴ	- s a ʔ a ɴ -	1
56	Ikema	ADJ_MORPHEME	k a i	k a i	- k a - i - -	1
57	Isen	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
58	Ishigaki	ADJ_MORPHEME	s aː ɴ	s aː ɴ	- s aː - - ɴ -	1
59	Ishikawa	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
60	Itoman	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
61	Kagoshima	ADJ_MORPHEME	e	e	- - - - - - e	1
62	Kagoshima	ADJ_MORPHEME	k a	k a	- k a - - - -	1
63	Kametsu	ADJ_MORPHEME	a i	a i	- - a - - - i	1
64	Kametsu	ADJ_MORPHEME	ɦ a i	ɦ a i	- ɦ a - - - i	1
65	Keraji	ADJ_MORPHEME	s a i	s a i	- s a - - - i	1
66	Koniya	ADJ_MORPHEME	s a m	s a m	- s a - - m -	1
67	Kudaka	ADJ_MORPHEME	ɬ a ɴ	ɬ a ɴ	- ɬ a - - ɴ -	1
68	Kuji-Oohama	ADJ_MORPHEME	s a r	s a r	- s a - - r -	1
69	Kuroshima	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
70	Kushi	ADJ_MORPHEME	s a	s a	- s a - - - -	1
71	Kyoto	ADJ_MORPHEME	i	i	- - - - - - i	1
72	Matsubara	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
73	Mugiya	ADJ_MORPHEME	s a i	s a i	- s a - - - i	1
74	Nago	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
75	Naze	ADJ_MORPHEME	s a	s a	- s a - - - -	1
76	Naze	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
77	Ohama	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
78	Ongachi	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
79	Ou	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
80	Oura	ADJ_MORPHEME	k a ɴ	k a ɴ	- k a - - ɴ -	1
81	Ritchou	ADJ_MORPHEME	s a	s a	- s a - - - -	1
82	Sakimotobu	ADJ_MORPHEME	ʃ e ɴ	ʃ e ɴ	- ʃ e - - ɴ -	1
83	San	ADJ_MORPHEME	h a ɴ	h a ɴ	- h a - - ɴ -	1
84	Sani	ADJ_MORPHEME	k a ɴ	k a ɴ	- k a - - ɴ -	1
85	Sena	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
86	Serikaku	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
87	Shiomichi	ADJ_MORPHEME	s a	s a	- s a - - - -	1
88	Shitooke	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
89	Shuri	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
90	Sonai	ADJ_MORPHEME	s a i	s a i	- s a - - - i	1
91	Taketomi	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
92	Tarama	ADJ_MORPHEME	ʃ aː ɭ	ʃ aː ɭ	- ʃ aː - - ɭ -	1
93	Tatsugo	ADJ_MORPHEME	s a r i	s a r i	- s a - - r i	1
94	Uechi	ADJ_MORPHEME	m u n u	m u n u	- m u - - n u	1
95	Uegusuku	ADJ_MORPHEME	s a ʔ a ɴ	s a ʔ a ɴ	- s a ʔ a ɴ -	1
96	Wadomari	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
97	Wan	ADJ_MORPHEME	s a ɴ	s a ɴ	- s a - - ɴ -	1
98	Yadon	ADJ_MORPHEME	s a r	s a r	- s a - - r -	1
99	Yonaguni	ADJ_MORPHEME	n t a r i	n t a r i	n t a - - r i	1
100	Yoro	ADJ_MORPHEME	s a	s a	- s a - - - -	1
101	Yuwan	ADJ_MORPHEME	s a i	s a i	- s a - - - i	1
102	Chabana	BAG_MORPHEME1	p u k u r u	p u k u r u	p u k - u r u	2
103	Hateruma	BAG_MORPHEME1	f u k u r u	f u k u r u	f u k - u r u	2
104	Hateruma	BAG_MORPHEME1	f u k u r u	f u k u r u	f u k - u r u	2
105	Hentona	BAG_MORPHEME1	ɸ u k k u	ɸ u k k u	ɸ u k k u - -	2
106	Hirara	BAG_MORPHEME1	f u k u r u	f u k u r u	f u k - u r u	2
107	Ie	BAG_MORPHEME1	p u k u	p u k u	p u - k u - -	2
108	Iheya	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
109	Ikema	BAG_MORPHEME1	f u k u r u	f u k u r u	f u k - u r u	2
110	Isen	BAG_MORPHEME1	ɸ u k u	ɸ u k u	ɸ u - k u - -	2
111	Ishigaki	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
112	Ishikawa	BAG_MORPHEME1	ɸ u k k u	ɸ u k k u	ɸ u k k u - -	2
113	Itoman	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
114	Izena	BAG_MORPHEME1	ɸ u k k u	ɸ u k k u	ɸ u k k u - -	2
115	Kagoshima	BAG_MORPHEME1	ɸ u k u r o	ɸ u k u r o	ɸ u k - u r o	2
116	Kametsu	BAG_MORPHEME1	ɸ u k k u	ɸ u k k u	ɸ u k k u - -	2
117	Keraji	BAG_MORPHEME1	ɸ u k k u	ɸ u k k u	ɸ u k k u - -	2
118	Koniya	BAG_MORPHEME1	ɸ u k r o	ɸ u k r o	ɸ u k r o - -	2
119	Koniya	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
120	Kudaka	BAG_MORPHEME1	p u k k u	p u k k u	p u k k u - -	2
121	Kuji-Oohama	BAG_MORPHEME1	ɸ u k u r o	ɸ u k u r o	ɸ u k - u r o	2
122	Kuroshima	BAG_MORPHEME1	f u k u r	f u k u r	f u k - u r -	2
123	Kushi	BAG_MORPHEME1	ɸ u k u r o	ɸ u k u r o	ɸ u k - u r o	2
124	Kyoto	BAG_MORPHEME1	ɸ u k u r o	ɸ u k u r o	ɸ u k - u r o	2
125	Matsubara	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
126	Mugiya	BAG_MORPHEME1	p u k u r u	p u k u r u	p u k - u r u	2
127	Nago	BAG_MORPHEME1	p u k k u i	p u k k u i	p u k k u i -	2
128	Naze	BAG_MORPHEME1	ɸ u k u r o	ɸ u k u r o	ɸ u k - u r o	2
129	Ohama	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
130	Ongachi	BAG_MORPHEME1	ɸ u k o r o	ɸ u k o r o	ɸ u k - o r o	2
131	Ou	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
132	Oura	BAG_MORPHEME1	f u k u r u	f u k u r u	f u k - u r u	2
133	Ritchou	BAG_MORPHEME1	p u k u r u	p u k u r u	p u k - u r u	2
134	Sakimotobu	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
135	San	BAG_MORPHEME1	ɸ u k k o	ɸ u k k o	ɸ u k k o - -	2
136	Sani	BAG_MORPHEME1	p u k u r u	p u k u r u	p u k - u r u	2
137	Sena	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
138	Serikaku	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
139	Shiomichi	BAG_MORPHEME1	p u k k u	p u k k u	p u k k u - -	2
140	Shitooke	BAG_MORPHEME1	ɸ u k k u	ɸ u k k u	ɸ u k k u - -	2
141	Shuri	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
142	Sonai	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
143	Taketomi	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
144	Tarama	BAG_MORPHEME1	f u k u r u	f u k u r u	f u k - u r u	2
145	Tatsugo	BAG_MORPHEME1	h o k o r o	h o k o r o	h o k - o r o	2
146	Uechi	BAG_MORPHEME1	f u k u r u	f u k u r u	f u k - u r u	2
147	Uegusuku	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
148	Wadomari	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
149	Wan	BAG_MORPHEME1	ɸ u k k u	ɸ u k k u	ɸ u k k u - -	2
150	Yadon	BAG_MORPHEME1	ɸ u k k u r o	ɸ u k k u r o	ɸ u k k u r o	2
151	Yonaguni	BAG_MORPHEME1	kˀ u r u	kˀ u r u	- - kˀ - u r u	2
152	Yoro	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
153	Yuwan	BAG_MORPHEME1	ɸ u k u r u	ɸ u k u r u	ɸ u k - u r u	2
154	Chabana	BAMBOO_MORPHEME1	d a i	d a i	d a - - i	3
155	Hateruma	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
156	Hentona	BAMBOO_MORPHEME1	r a k i	r a k i	r a - k i	3
157	Hirara	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
158	Ie	BAMBOO_MORPHEME1	d a k i	d a k i	d a - k i	3
159	Iheya	BAMBOO_MORPHEME1	d a k k iː	d a k k iː	d a k k iː	3
160	Ikema	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
161	Ishigaki	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
162	Ishikawa	BAMBOO_MORPHEME1	d a k i	d a k i	d a - k i	3
163	Itoman	BAMBOO_MORPHEME1	r a k i	r a k i	r a - k i	3
164	Izena	BAMBOO_MORPHEME1	d a k iː	d a k iː	d a - k iː	3
165	Kagoshima	BAMBOO_MORPHEME1	t a k e	t a k e	t a - k e	3
166	Kametsu	BAMBOO_MORPHEME1	d ɘː	d ɘː	d ɘː - - -	3
167	Keraji	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
168	Koniya	BAMBOO_MORPHEME1	d ɨ x ɘ	d ɨ x ɘ	d ɨ - x ɘ	3
169	Kudaka	BAMBOO_MORPHEME1	r a k i	r a k i	r a - k i	3
170	Kuroshima	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
171	Kyoto	BAMBOO_MORPHEME1	t a k e	t a k e	t a - k e	3
172	Mugiya	BAMBOO_MORPHEME1	d a i	d a i	d a - - i	3
173	Nago	BAMBOO_MORPHEME1	d a k i	d a k i	d a - k i	3
174	Naze	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
175	Ohama	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
176	Ou	BAMBOO_MORPHEME1	d a k i	d a k i	d a - k i	3
177	Oura	BAMBOO_MORPHEME1	t a k i	t a k i	t a - k i	3
178	Ritchou	BAMBOO_MORPHEME1	d a i	d a i	d a - - i	3
179	Sakimotobu	BAMBOO_MORPHEME1	d a k i	d a k i	d a - k i	3
180	Sena	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
181	Serikaku	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
182	Shiomichi	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
183	Shitooke	BAMBOO_MORPHEME1	d eː	d eː	d eː - - -	3
184	Shuri	BAMBOO_MORPHEME1	d a k i	d a k i	d a - k i	3
